Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
Improved and supported visitor economy (tourism),Tourism value of heritage (2013)           Global,of per,,https://www.gov.uk/government/publications/embedding-a-culture-and-heritage-capital-approach/embedding-a-culture-and-heritage-capital-approach,Direct/supporting UK source,2,
"Improved cleanliness of streets, green spaces and waterways",Average willingness to pay of local households for biodiversity of general     Global green space (2024),onth,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,2,
"Improved cleanliness of streets, green spaces and waterways",Cost to local authority of keeping Global streets clean (2018),r of holds ear,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,2,
"Improved cleanliness of streets, green spaces and waterways",Value of an ecological status by hectare Global (2024),r of res,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,2,
"Improved cleanliness of streets, green spaces and waterways",Willingness to pay for conservation of Global marine environment (2014),r of s,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,2,
"Improved cleanliness of streets, green spaces and waterways",Willingness to pay for improved air Global quality (2024),r of holds onth,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,2,
"Improved cleanliness of streets, green spaces and waterways",Willingness to pay for improved sea Global water quality (2013),r of e per,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,2,
Improved community health,Annual household spend on food that is Global covered by food banks,ousehold ear,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Annual household spend on fresh fruit Global and vegetables,r of holds ear,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Annual wellbeing value of regular Global attendance at a religious institution,r of e per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Average cost of a carer (2020)             Global,of,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Average cost of one year residential Global care (2020),of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Average spend on food per year (2023)      Global,of per,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Cost of a community health visit (2020)    Global,of,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Day care support for those with learning Global disabilities (2016),of s,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Economic Cost of Rats (2024)               Global,of olds ar,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,GMCA Attendance Allowance Higher Global rate (2024),ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community health,GMCA Carer's Allowance Weekly Global payment (2024),ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community health,GMCA Disability Living Allowance for Children Care component: highest           Global (2024),ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community health,GMCA Disability Living Allowance (HISTORIC) Care component: highest         Global (2024),ek,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community health,GMCA Excess Cold - average annual cost to healthcare services and to the     Global local economy (2024),tegory 1,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community health,"GMCA Troubled Families Programme - Troubled Families Employment Adviser (TFEA), Executive Officer (EO) grade -     Global",E,,https://www.greatermanchester-ca.gov.uk/what-we-do/research/research-cost-benefit-analysis/,Existing evidence link,,
Improved community health,"Per-capita costs of obesity to society (£49.6 bn/£64,000,100 population)            Globa (2015)",ber of ple per r,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Saving from home treatment alongside inpatient care in an integrated care         Globa pathway (2024),admission ed,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,The value of feeling more confident in being with family and other people as a Globa result of taking part in an adult learning course (2024),person,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Value of a free school meal in England       Globa,ber of ls,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Value of attending a session in a Globa sensory space (2015),ber of ple per sion,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Value of configuring an office to support Globa health and wellbeing (2017),ber of ple,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community health,Value of increased happiness through Globa living near green space (2020),ber of ple per r,,https://www.gov.uk/government/publications/enabling-a-natural-capital-approach-enca-guidance/enabling-a-natural-capital-approach-guidance,Direct/supporting UK source,2,
Improved community health,Value per quality adjusted life year Globa (2021),ber of ple per r,,https://www.england.nhs.uk/costing-in-the-nhs/national-cost-collection/,Direct/supporting UK source,2,
Improved community safety,Average annual salary of a welfare Global professional,er of sors,,https://www.gov.uk/government/collections/dwp-statistical-summaries,Direct/supporting UK source,2,
Improved community safety,Average annual unit cost to a business Global of shoplifting (2024),business,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Average cost of a house fire (2021)         Global,er of dents per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Average cost of a primary fire to society   Global,fire,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Average cost of crime against the Global person (2016),er of le per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a Crown Court hearing               Global,hearing,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a data breach (2021)                Global,er of nisations,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a domestic abuse awareness Global campaign,campaign,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a fatal road traffic accident Global (2020),fatal dent,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a fire fatality (2022)              Global,er of le,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a fire in a commercial building Global (2022),er of dents,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a reported anti-social behaviour Global incident (ASB) (2017),of nts,,https://social-value-engine.co.uk/calculator/ASBcost-of-late-intervention-2016_technical-report.pdf,Existing evidence link,,
Improved community safety,Cost of Arson (2018)                       Global,of per,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a serious fire injury (2024)       Global,of nts,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
Improved community safety,Cost of a Serious Road Traffic Accident Global (2024),of nts,,https://www.gov.uk/government/publications/the-economic-and-social-costs-of-crime,Direct/supporting UK source,2,
